,I,pump%,Seed,TaChPres,TaChPres_er,Calori,Calori_er,Ha,Hb,Hc,Q22,Q11,Q00,Te,Ne,merge_ID,
51,,,,,,,,,61,61,,,,,,22,
52,,,,,,,,,62,62,,,,,,22,
53,,,,,,,,,63,63,,,,,,22,
54,,,,,,,,,65,65,,,,,,23,
55,,,,,,,,,66,66,,,,,,23,
56,,,,,,,,,67,67,,,,,,23,
57,,,,,,,,,68,68,,,,,,23,
58,,,,,,,,,69,69,,,,,,23,
59,,,,,,,,,71,71,,,,,,24,
60,,,,,,,,,72,72,,,,,,24,
61,,,,,,,,,73,73,,,,,,24,
62,,,,,,,,,74,74,,,,,,24,
63,,,,,,,,,75,75,,,,,,24,
64,,,,,,,,,76,76,,,,,,24,
65,,,,,,,,,77,77,,,,,,24,
66,,,,,,,,,79,79,,,,,,25,
67,,,,,,,,,80,80,,,,,,25,
68,,,,,,,,,81,81,,,,,,25,
69,,,,,,,,,82,82,,,,,,25,
70,,,,,,,,,83,83,,,,,,25,
71,,,,,,,,,84,84,,,,,,25,
72,,,,,,,,,85,85,,,,,,25,
73,,,,,,,,,86,86,,,,,,25,
74,,,,,,,,,87,87,,,,,,25,
75,,,,,,,,,89,89,,,,,,26,
76,,,,,,,,,90,90,,,,,,26,
77,,,,,,,,,91,91,,,,,,26,
78,,,,,,,,,92,92,,,,,,26,
79,,,,,,,,,93,93,,,,,,26,
80,,,,,,,,,94,94,,,,,,26,
81,,,,,,,,,95,95,,,,,,26,
82,,,,,,,,,96,96,,,,,,26,
83,,,,,,,,,98,98,,,,,,27,
84,,,,,,,,,99,99,,,,,,27,
85,,,,,,,,,100,100,,,,,,27,
86,,,,,,,,,101,101,,,,,,27,
87,,,,,,,,,102,102,,,,,,27,
88,,,,,,,,,104,104,,,,,,28,
89,,,,,,,,,105,105,,,,,,28,
90,,,,,,,,,106,106,,,,,,28,
91,,,,,,,,,107,107,,,,,,28,
92,,,,,,,,,108,108,,,,,,28,
93,,,,,,,,,110,110,,,,,,29,
94,,,,,,,,,111,111,,,,,,29,
95,,,,,,,,,112,112,,,,,,29,
96,,,,,,,,,113,113,,,,,,29,
97,,,,,,,,,114,114,,,,,,29,
98,,,,,,,,,116,116,,,,,,30,
99,,,,,,,,,117,117,,,,,,30,
100,,,,,,,,,118,118,,,,,,30,
101,,,,,,,,,119,119,,,,,,30,
102,,,,,,,,,120,120,,,,,,30,
