,I,pump%,Seed,TaChPres,TaChPres_er,Calori,Calori_er,Ha,Hb,Hc,Q22,Q11,Q00,Te,Ne
0,140,25,0,0.501211833657218,0.002653570545398,1456.3714353953,22.8979610294985,0,3,4,,,,3.96322934255233,1.40876009228242E+020
1,140,25,3.4,3.0366037508601,0.018373335406186,523.807865068495,35.5274543928575,1,4,5,,,,1.50431608946261,1.7951520518122E+020
2,140,25,11.4,10.1012085879987,0.045009460886136,33.5384144585558,16.3568275495559,2,6,7,,,,0.100719750654188,2.64048553039243E+019
