merge,B,Seed,p_n [Pa],CB energy [J],Delivered energy [J],T_axial,Target,area_equiv_max_static_pressure,max_average_static_pressure,average_static_pressure,average_Te,average_ne,power_rad_excit,power_rad_excit_sigma,power_rad_rec_bremm,power_rad_rec_bremm_sigma,power_rad_mol,power_rad_mol_sigma,power_via_ionisation,power_via_ionisation_sigma,power_via_recombination,power_via_recombination_sigma,tot_rad_power,tot_rad_power_sigma,power_rad_Hm,power_rad_Hm_sigma,power_rad_Hm_H2p,power_rad_Hm_H2p_sigma,power_rad_Hm_Hp,power_rad_Hm_Hp_sigma,power_rad_H2,power_rad_H2_sigma,power_rad_H2p,power_rad_H2p_sigma,power_heating_rec,power_heating_rec_sigma,power_rec_neutral,power_rec_neutral_sigma,power_via_brem,power_via_brem_sigma,total_removed_power,total_removed_power_sigma,local_CX,local_CX_sigma,max_CX_energy,max_CX_energy_sigma,net_power_removed_plasma_column,net_power_removed_plasma_column_sigma,fast_camera_record_duration_OES,fast_camera_record_duration_long
12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013419816595839856,0.0013419816595839856
67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013419816595839856,0.0013419816595839856
68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013419816595839856,0.0013419816595839856
69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013419816595839856,0.0013419816595839856
70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013419816595839856,0.0013419816595839856
71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013419816595839856,0.0013419816595839856
72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013419816595839856,0.0013419816595839856
73.0,1.5,19.5,15.5,27.0,46.23354700116264,66.2,tungsten dummy,0.0001208126943220081,340.75550042149024,2321.483329117556,1.6818099333720782,29.94947218131727,8.295162415056968,0.5724182369725375,3.348429842681983,0.048078139024673394,3.0761342772728373,0.2402919864873483,22.68514661813744,1.5581015640725455,5.722215317935655,0.07975353819753872,14.710516429461247,0.6439516801023828,0.2617702202463681,0.04738366402019482,0.005208950319950671,0.0031911385222765896,0.25661458356275346,0.05270025407605082,0.00862302712749281,0.006929705784981742,2.801964455697062,0.2421684274406721,2.3709534613493366,0.04640248497031396,0.7720899343889427,0.011338577802429195,0.009418019011176813,0.000193108333303646,37.77213271786405,2.296142620209473,477.4806280470857,32.019520690574524,2.394646729328872,0.14902068066200005,15.444115506802321,0.5679679368978787,0.0013419816595839856,0.0013419816595839856
74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,1.5,0.0,0.562,47.99999999999999,65.00998894075907,31.2,TZM thin,0.0001061128083429937,441.7888306082969,3904.6798406550733,7.670037723439275,15.887002690935569,11.373969794825285,0.6249751934395382,0.6501732117953243,0.012403002922373507,5.376604344869735,0.30105964804331764,35.77301568946746,1.6292383994964936,0.8161608304729795,0.016117260779285547,17.39124716588659,0.5964465720290306,0.6798868104218951,0.0461911155824854,0.001841426605166496,0.00018063172897710502,0.6782565740487942,0.04822797333231589,1.4755289616350902,0.2933172516398518,3.323784296407217,0.14787152670381398,0.15975709594109286,0.005159393327497736,0.09694760140508524,0.0015952920877602902,0.002875921888088289,4.828782671509433e-05,52.99530577065375,2.2453084913896717,126.94234361218555,9.65512739807329,0.8518263499586094,0.0459834015687921,17.477163226414348,0.6179391088188897,0.0013419816595839856,0.0013419816595839856
76.0,1.5,5.0,4.5139999999999985,47.99999999999999,64.97467932349237,31.2,TZM thin,8.665846388437023e-05,559.8221992775573,5096.751361256229,4.64656210688891,28.506969797663345,5.119479361291692,0.4606412657685053,6.192048345044472,0.1008877897044922,29.8138455951686,0.694718089778382,25.69900831423709,2.8097756720232208,9.525617456723069,0.11564295312935348,41.112272905994466,0.7006990950170469,3.098649886041631,0.2126305439080367,0.014182164993628104,0.0011345465186233155,3.0919925234029817,0.19777879482703686,1.9078258692035661,0.35807092987497346,24.561649292450447,0.6362203650246965,3.3337298234747985,0.04944543496624143,0.9306367067951664,0.009281530234734048,0.00978576245039604,0.00013608424875935062,67.95936439097386,2.9820555009019856,249.76302995090262,23.71313947344291,2.5109816703063093,0.10243927198216918,41.886299273887225,0.7195205201953456,0.0013419816595839856,0.0013419816595839856
77.0,1.5,10.0,8.304,47.99999999999999,64.89188213054528,31.2,TZM thin,0.00010730721831827563,560.1536306519085,4968.204102312295,3.6972379717213455,33.08724779767013,3.8790425699863182,0.3439685150036782,8.597144011137711,0.12605187926661274,37.484774896676136,0.9731490571668572,22.183970670914775,2.0059856264220257,13.921138085522035,0.20427573254250486,50.175114497487534,0.915373032153468,3.6627723519243376,0.26797527666123555,0.017583195779987036,0.0019553924006365814,3.6783394589694822,0.25309535698932906,1.592611078434429,0.2724135293806882,32.33537907283348,0.8566911527969623,5.382945936642859,0.10038891057566696,1.3658807913917996,0.015344365726114084,0.011993293558708738,0.00016454757916202663,72.9196952304396,2.039674210481863,273.300218877421,27.24744815135044,3.1060700348932566,0.11956929145320115,51.523009096969616,0.8268090238408874,0.0013419816595839856,0.0013419816595839856
78.0,1.5,15.0,12.094,47.99999999999999,64.71579807545024,31.2,TZM thin,0.00010051639219273122,516.5821686815167,4416.666936059471,2.9423097281796653,37.21448655478434,4.31197154272402,0.2877268708048668,10.178429738193783,0.161653138784553,43.51582566989826,0.9912901748592268,20.565337451157195,1.5059034184512379,17.59748511546588,0.253250486370165,57.71423208554206,1.16802285956215,4.104391939618721,0.2799177642871018,0.025800299587811583,0.0021038247864243052,4.146594551866569,0.25823631169085104,0.9900760639351032,0.2292547205189385,38.30033661394553,1.101426493366688,7.454032251277883,0.11085563605400628,1.8414803742592158,0.020908291741337348,0.01475766186294968,0.0002200473463339781,80.44959804261131,2.464194939113732,372.3966711915378,39.397029964054546,4.354006006174335,0.20136540159380845,59.398361050403395,1.0502859319860036,0.0013419816595839856,0.0013419816595839856
79.0,1.5,19.5,15.52,47.99999999999999,64.7653274030447,31.2,TZM thin,9.956703885216654e-05,476.50955387821466,4073.6968182161336,2.6530316642554257,37.97115150936076,8.1041507985547,1.71296003157874,9.946312373950938,0.2140973459605986,30.124901220991525,1.0815163394616452,38.54635506842864,9.90078474114582,17.086688467618252,0.3858631766181127,48.51490775129034,1.7477898245989465,0.5026958189058343,0.08247439709649626,0.19109761400316733,0.014118629059502131,0.3081448355558407,0.07913317793808211,0.4949049841365877,0.10988850742662604,28.883904737432427,0.9872649760174872,7.199686992311221,0.14107120859032607,1.6839018761161446,0.033871573795178245,0.012414423514811259,0.0001959640189689105,87.10913469604765,12.570809155311828,645.3401666796258,47.33885398428447,2.5926596073870463,0.18891526406172687,50.39407384292826,1.6628905865860304,0.0013419816595839856,0.0013419816595839856
80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013419816595839856,0.0013419816595839856
81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013419816595839856,0.0013419816595839856
